Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Short,Middle,Long,Buy,Sell,Profits
BHARTIARTL,EQ,348.65,348.4,350.0,342.5,346.6,346.65,346.01,8576035,296738504500000.0,66021,6189110,0.7217,347.0021477953042,347.78067931249797,340.9602967773077,,,0.0
BHARTIARTL,EQ,346.65,347.0,349.85,345.15,348.45,348.5,347.66,3405198,118386672190000.02,74444,1664891,0.4889,347.50143186353614,347.8563972796034,341.19965243517095,,,0.0
BHARTIARTL,EQ,348.5,349.0,354.5,347.35,352.7,353.6,351.74,3745884,131757794395000.0,50799,1460631,0.3899,349.5342879090241,348.4609870396452,341.5933142626259,353.6,,-35360.0
BHARTIARTL,EQ,353.6,352.9,356.5,349.75,352.9,353.2,354.15,8317090,294546849015000.0,50960,5653437,0.6797,350.7561919393494,348.95983050915623,341.96178047651074,,,0.0
BHARTIARTL,EQ,353.2,353.35,365.0,353.0,362.1,362.75,361.71,8407402,304100508400000.0,86438,3971490,0.47240000000000004,354.7541279595663,350.4114272976661,342.6217239534469,,,0.0
BHARTIARTL,EQ,362.75,362.75,371.15,360.5,364.85,364.8,365.11,6751716,246513139305000.03,75154,3203297,0.4744,358.1027519730442,351.92601389791173,343.32579620889305,,,0.0
BHARTIARTL,EQ,364.8,362.0,364.4,354.45,355.05,356.4,359.53,3478536,125062559290000.02,58382,1373302,0.3948,357.53516798202946,352.3969598033947,343.7408502974996,,,0.0
BHARTIARTL,EQ,356.4,356.0,363.25,354.1,362.4,362.3,359.07,3859398,138580460950000.0,58508,1558836,0.40390000000000004,359.123445321353,353.4393850872479,344.3300296531345,,,0.0
BHARTIARTL,EQ,362.3,362.9,364.9,353.65,358.0,358.55,357.83,5201801,186138154445000.0,95195,2589301,0.4978,358.932296880902,353.9773445517481,344.78145728319373,,,0.0
BHARTIARTL,EQ,358.55,358.25,362.4,356.3,360.5,360.75,359.8,3448755,124085906765000.02,45092,1694281,0.4913,359.53819792060136,354.6902556515641,345.2883951472193,,,0.0
BHARTIARTL,EQ,360.75,360.8,360.8,354.15,357.6,356.1,355.91,4662763,165952334080000.0,55187,2417977,0.5186,358.3921319470676,354.8386497935047,345.63162069810124,,,0.0
BHARTIARTL,EQ,356.1,357.6,359.4,349.15,351.0,350.6,352.66,3459346,121996305640000.02,38585,1668581,0.4823,355.7947546313784,354.39247613103055,345.7893470251456,,,0.0
BHARTIARTL,EQ,350.6,351.0,354.95,349.65,350.55,350.75,351.32,3584392,125927311350000.0,42770,2179268,0.608,354.1131697542523,354.0090575909221,345.9468280719664,,,0.0
BHARTIARTL,EQ,350.75,350.55,353.4,344.8,347.25,346.25,348.45,4677593,162992363550000.0,48221,2166868,0.4632,351.4921131695015,353.1923146866145,345.9564525776183,,,0.0
BHARTIARTL,EQ,346.25,348.0,351.2,338.6,343.0,342.5,345.25,3642763,125767193780000.0,56024,1286906,0.3533,348.49474211300105,352.06680787749724,345.8467239243605,,,0.0
BHARTIARTL,EQ,342.5,343.5,346.0,336.1,340.6,339.95,340.26,2470956,84077739340000.0,46180,931013,0.3768,345.64649474200075,350.7913544167081,345.6595263394602,,,0.0
BHARTIARTL,EQ,339.95,339.0,343.5,335.6,341.55,342.55,340.71,3062655,104347882680000.0,60696,1233693,0.40280000000000005,344.61432982800056,349.9238434254757,345.56081121757256,,,0.0
BHARTIARTL,EQ,342.55,342.95,348.5,337.4,343.5,343.6,343.02,3614547,123986548900000.0,63072,1381241,0.3821,344.2762198853337,349.25817569647825,345.4985632424115,,,0.0
BHARTIARTL,EQ,343.6,344.0,344.75,335.75,339.1,338.9,338.41,4751577,160797142060000.0,55153,2542694,0.5351,342.4841465902225,348.1678414126384,345.2890850442397,,,0.0
BHARTIARTL,EQ,338.9,335.0,343.45,334.55,337.6,339.0,340.16,7460110,253762851765000.0,80635,3567480,0.4782,341.3227643934817,347.2028054744659,345.0894315507718,,,0.0
